bin_id,timestamp,fill_percent,weight_kg,day_of_week,day_of_month,rain,holiday,nearby_event,population_density,rate_of_fill,last_collection_time,overflow_incident
BIN_001,2025-01-01,12.74,5.73,2,1,1,0,0,low,2.72,2024-12-30,0
BIN_002,2025-01-01,42.58,11.17,2,1,1,0,0,low,2.82,2024-12-30,0
BIN_003,2025-01-01,35.04,16.75,2,1,1,0,0,medium,6.51,2024-12-31,0
BIN_004,2025-01-01,40.65,18.43,2,1,1,0,0,high,12.3,2024-12-31,0
BIN_005,2025-01-01,23.26,6.58,2,1,1,0,0,high,13.05,2024-12-30,0
BIN_006,2025-01-01,13.02,3.75,2,1,1,0,0,low,2.32,2024-12-30,0
BIN_007,2025-01-01,28.39,13.57,2,1,1,0,0,low,2.64,2024-12-31,0
BIN_008,2025-01-01,27.55,8.57,2,1,1,0,0,medium,5.55,2024-12-30,0
BIN_009,2025-01-01,17.64,5.55,2,1,1,0,0,medium,6.24,2024-12-31,0
BIN_010,2025-01-01,46.8,9.93,2,1,1,0,0,high,7.59,2024-12-31,0
BIN_011,2025-01-01,26.98,9.24,2,1,1,0,0,high,9.99,2024-12-30,0
BIN_012,2025-01-01,17.45,4.55,2,1,1,0,0,medium,4.73,2024-12-30,0
BIN_013,2025-01-01,41.23,11.9,2,1,1,0,0,high,12.68,2024-12-30,0
BIN_014,2025-01-01,25.09,7.46,2,1,1,0,0,low,3.62,2024-12-30,0
BIN_015,2025-01-01,42.55,8.52,2,1,1,0,0,low,3.05,2024-12-31,0
BIN_016,2025-01-01,28.69,11.7,2,1,1,0,0,medium,4.68,2024-12-30,0
BIN_017,2025-01-01,38.48,12.36,2,1,1,0,0,low,2.68,2024-12-31,0
BIN_018,2025-01-01,33.31,8.14,2,1,1,0,0,low,2.9,2024-12-30,0
BIN_019,2025-01-01,30.91,9.38,2,1,1,0,0,high,7.39,2024-12-30,0
BIN_020,2025-01-01,16.42,6.2,2,1,1,0,0,medium,6.02,2024-12-30,0
BIN_001,2025-01-02,21.74,9.67,3,2,0,0,0,high,8.99,2024-12-30,0
BIN_002,2025-01-02,53.06,24.28,3,2,0,0,0,high,10.48,2024-12-30,0
BIN_003,2025-01-02,41.17,12.54,3,2,0,0,0,medium,6.13,2024-12-31,0
BIN_004,2025-01-02,44.53,20.1,3,2,0,0,0,low,3.88,2024-12-31,0
BIN_005,2025-01-02,27.89,11.4,3,2,0,0,0,medium,4.63,2024-12-30,0
BIN_006,2025-01-02,15.37,4.28,3,2,0,0,0,low,2.35,2024-12-30,0
BIN_007,2025-01-02,39.8,10.21,3,2,0,0,0,high,11.41,2024-12-31,0
BIN_008,2025-01-02,30.95,9.95,3,2,0,0,0,low,3.4,2024-12-30,0
BIN_009,2025-01-02,28.57,11.45,3,2,0,0,0,high,10.93,2024-12-31,0
BIN_010,2025-01-02,53.62,15.29,3,2,0,0,0,medium,6.82,2024-12-31,0
BIN_011,2025-01-02,32.32,8.17,3,2,0,0,0,medium,5.35,2024-12-30,0
BIN_012,2025-01-02,20.43,8.65,3,2,0,0,0,low,2.99,2024-12-30,0
BIN_013,2025-01-02,50.78,19.85,3,2,0,0,0,high,9.54,2024-12-30,0
BIN_014,2025-01-02,28.27,13.34,3,2,0,0,0,low,3.18,2024-12-30,0
BIN_015,2025-01-02,48.48,22.26,3,2,0,0,0,medium,5.94,2024-12-31,0
BIN_016,2025-01-02,31.69,6.75,3,2,0,0,0,low,3.0,2024-12-30,0
BIN_017,2025-01-02,49.9,21.17,3,2,0,0,0,high,11.42,2024-12-31,0
BIN_018,2025-01-02,43.17,21.33,3,2,0,0,0,high,9.86,2024-12-30,0
BIN_019,2025-01-02,33.52,11.58,3,2,0,0,0,low,2.61,2024-12-30,0
BIN_020,2025-01-02,22.95,5.08,3,2,0,0,0,medium,6.53,2024-12-30,0
BIN_001,2025-01-03,24.33,5.86,4,3,0,0,0,low,2.59,2024-12-30,0
BIN_002,2025-01-03,62.16,17.21,4,3,0,0,0,high,9.1,2024-12-30,0
BIN_003,2025-01-03,45.18,11.67,4,3,0,0,0,medium,4.02,2024-12-31,0
BIN_004,2025-01-03,47.32,9.86,4,3,0,0,0,low,2.79,2024-12-31,0
BIN_005,2025-01-03,33.91,8.36,4,3,0,0,0,medium,6.02,2024-12-30,0
BIN_006,2025-01-03,23.62,5.0,4,3,0,0,0,high,8.25,2024-12-30,0
BIN_007,2025-01-03,44.78,12.6,4,3,0,0,0,medium,4.98,2024-12-31,0
BIN_008,2025-01-03,38.92,12.59,4,3,0,0,0,high,7.97,2024-12-30,0
BIN_009,2025-01-03,32.96,13.66,4,3,0,0,0,medium,4.4,2024-12-31,0
BIN_010,2025-01-03,56.42,15.53,4,3,0,0,0,low,2.8,2024-12-31,0
BIN_011,2025-01-03,34.48,7.5,4,3,0,0,0,low,2.16,2024-12-30,0
BIN_012,2025-01-03,27.9,7.11,4,3,0,0,0,high,7.47,2024-12-30,0
BIN_013,2025-01-03,61.06,20.19,4,3,0,0,0,high,10.29,2024-12-30,0
BIN_014,2025-01-03,36.06,8.51,4,3,0,0,0,high,7.79,2024-12-30,0
BIN_015,2025-01-03,52.76,26.06,4,3,0,0,0,medium,4.28,2024-12-31,0
BIN_016,2025-01-03,33.72,10.25,4,3,0,0,0,low,2.03,2024-12-30,0
BIN_017,2025-01-03,54.04,25.19,4,3,0,0,0,medium,4.14,2024-12-31,0
BIN_018,2025-01-03,45.2,16.35,4,3,0,0,0,low,2.03,2024-12-30,0
BIN_019,2025-01-03,40.35,18.57,4,3,0,0,0,medium,6.83,2024-12-30,0
BIN_020,2025-01-03,28.98,6.91,4,3,0,0,0,medium,6.03,2024-12-30,0
BIN_001,2025-01-04,31.92,10.0,5,4,1,0,0,high,7.59,2024-12-30,0
BIN_002,2025-01-04,65.37,26.44,5,4,1,0,0,low,3.21,2024-12-30,0
BIN_003,2025-01-04,50.53,24.31,5,4,1,0,0,medium,5.35,2024-12-31,0
BIN_004,2025-01-04,50.19,18.6,5,4,1,0,0,low,2.87,2024-12-31,0
BIN_005,2025-01-04,38.68,17.8,5,4,1,0,0,medium,4.78,2024-12-30,0
BIN_006,2025-01-04,29.17,9.14,5,4,1,0,0,medium,5.55,2024-12-30,0
BIN_007,2025-01-04,49.17,10.62,5,4,1,0,0,medium,4.39,2024-12-31,0
BIN_008,2025-01-04,52.34,18.04,5,4,1,0,0,high,13.41,2024-12-30,0
BIN_009,2025-01-04,37.57,9.91,5,4,1,0,0,medium,4.6,2024-12-31,0
BIN_010,2025-01-04,71.42,35.62,5,4,1,0,0,high,15.0,2024-12-31,0
BIN_011,2025-01-04,38.95,15.83,5,4,1,0,0,low,4.46,2024-12-30,0
BIN_012,2025-01-04,36.22,11.55,5,4,1,0,0,high,8.32,2024-12-30,0
BIN_013,2025-01-04,69.97,32.11,5,4,1,0,0,high,8.91,2024-12-30,0
BIN_014,2025-01-04,45.78,18.88,5,4,1,0,0,high,9.71,2024-12-30,0
BIN_015,2025-01-04,58.67,19.38,5,4,1,0,0,medium,5.9,2024-12-31,0
BIN_016,2025-01-04,37.05,16.55,5,4,1,0,0,low,3.33,2024-12-30,0
BIN_017,2025-01-04,63.4,14.26,5,4,1,0,0,high,9.35,2024-12-31,0
BIN_018,2025-01-04,52.11,15.47,5,4,1,0,0,medium,6.91,2024-12-30,0
BIN_019,2025-01-04,44.77,9.97,5,4,1,0,0,low,4.42,2024-12-30,0
BIN_020,2025-01-04,31.78,10.02,5,4,1,0,0,low,2.79,2024-12-30,0
BIN_001,2025-01-05,36.94,9.27,6,5,0,1,1,low,5.02,2024-12-30,0
BIN_002,2025-01-05,73.81,22.74,6,5,0,1,1,medium,8.44,2024-12-30,0
BIN_003,2025-01-05,55.76,18.03,6,5,0,1,1,low,5.23,2024-12-31,0
BIN_004,2025-01-05,58.11,28.02,6,5,0,1,1,medium,7.92,2024-12-31,0
BIN_005,2025-01-05,50.85,23.54,6,5,0,1,1,medium,12.16,2024-12-30,0
BIN_006,2025-01-05,38.59,13.28,6,5,0,1,1,medium,9.42,2024-12-30,0
BIN_007,2025-01-05,65.31,29.31,6,5,0,1,1,high,16.14,2024-12-31,0
BIN_008,2025-01-05,59.73,12.19,6,5,0,1,1,medium,7.4,2024-12-30,0
BIN_009,2025-01-05,43.66,20.69,6,5,0,1,1,low,6.09,2024-12-31,0
BIN_010,2025-01-05,82.71,22.52,6,5,0,1,1,medium,11.29,2024-12-31,0
BIN_011,2025-01-05,43.45,20.14,6,5,0,1,1,low,4.51,2024-12-30,0
BIN_012,2025-01-05,49.02,17.13,6,5,0,1,1,high,12.8,2024-12-30,0
BIN_013,2025-01-05,78.83,38.66,6,5,0,1,1,medium,8.86,2024-12-30,0
BIN_014,2025-01-05,52.23,17.03,6,5,0,1,1,low,6.45,2024-12-30,0
BIN_015,2025-01-05,79.39,30.58,6,5,0,1,1,high,20.73,2024-12-31,0
BIN_016,2025-01-05,54.64,12.42,6,5,0,1,1,high,17.59,2024-12-30,0
BIN_017,2025-01-05,84.19,24.36,6,5,0,1,1,high,20.79,2024-12-31,0
BIN_018,2025-01-05,63.61,28.79,6,5,0,1,1,medium,11.5,2024-12-30,0
BIN_019,2025-01-05,62.96,19.15,6,5,0,1,1,high,18.19,2024-12-30,0
BIN_020,2025-01-05,37.46,12.66,6,5,0,1,1,low,5.69,2024-12-30,0
